관리번호|법정동코드|시도명|시군구명|법정읍면동명|법정리명|산여부|지번본번|지번부번|도로명코드|도로명|지하여부|건물본번|건물부번|행정동코드|행정동명|우편번호|우편일련번호|고시일자|이동사유코드|변경전도로명주소|시군구용건물명|공동주택구분|기타
41370101201201300033400001|4137010100|경기도|오산시|오산동||0|119|6|413702012013|경기대로|0|334|1|4137051000|중앙동|18134||20110729|0||||
41370101201201300033500004|4137010100|경기도|오산시|오산동||0|74|5|413702012013|경기대로|0|335|4|4137051000|중앙동|18135||20110729|0||||
41370101201201300033500006|4137010100|경기도|오산시|오산동||0|74|14|413702012013|경기대로|0|335|6|4137051000|중앙동|18135||20110729|0||||
41370101201201300033500008|4137010100|경기도|오산시|오산동||0|74|17|413702012013|경기대로|0|335|8|4137051000|중앙동|18135||20110729|0||||
41370101201201300033600000|4137010100|경기도|오산시|오산동||0|119|1|413702012013|경기대로|0|336|0|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600002|4137010100|경기도|오산시|오산동||0|117|18|413702012013|경기대로|0|336|2|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600003|4137010100|경기도|오산시|오산동||0|117|8|413702012013|경기대로|0|336|3|4137051000|중앙동|18134||20210618|0||||
41370101201201300033600004|4137010100|경기도|오산시|오산동||0|117|19|413702012013|경기대로|0|336|4|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600005|4137010100|경기도|오산시|오산동||0|117|16|413702012013|경기대로|0|336|5|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600006|4137010100|경기도|오산시|오산동||0|117|20|413702012013|경기대로|0|336|6|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600007|4137010100|경기도|오산시|오산동||0|117|7|413702012013|경기대로|0|336|7|4137051000|중앙동|18134||20110729|0||||
41370101201201300033600008|4137010100|경기도|오산시|오산동||0|117|14|413702012013|경기대로|0|336|8|4137051000|중앙동|18134||20110729|0||||
41370101201201300033700000|4137010100|경기도|오산시|오산동||0|74|4|413702012013|경기대로|0|337|0|4137051000|중앙동|18135||20110729|0||||
41370101201201300033800003|4137010100|경기도|오산시|오산동||0|74|7|413702012013|경기대로|0|338|3|4137051000|중앙동|18134||20110729|0||||
41370101201201300033800004|4137010100|경기도|오산시|오산동||0|74|69|413702012013|경기대로|0|338|4|4137051000|중앙동|18134||20130910|0||||
41370101201201300033800006|4137010100|경기도|오산시|오산동||0|74|71|413702012013|경기대로|0|338|6|4137051000|중앙동|18134||20110729|0||||
41370101201201300034000000|4137010100|경기도|오산시|오산동||0|73|4|413702012013|경기대로|0|340|0|4137051000|중앙동|18134||20110729|0|||나비엔|
41370101201201300034100000|4137010100|경기도|오산시|오산동||0|64|6|413702012013|경기대로|0|341|0|4137051000|중앙동|18135||20110729|0||||
41370101201201300034100001|4137010100|경기도|오산시|오산동||0|73|1|413702012013|경기대로|0|341|1|4137051000|중앙동|18135||20140317|0||||
41370101201201300034200000|4137010100|경기도|오산시|오산동||0|73|3|413702012013|경기대로|0|342|0|4137051000|중앙동|18134||20110729|0|||가림카오디오|
41370101201201300034300000|4137010100|경기도|오산시|오산동||0|64|5|413702012013|경기대로|0|343|0|4137051000|중앙동|18135||20110729|0|||세븐모텔|
41370101201201300034600000|4137010100|경기도|오산시|오산동||0|62|1|413702012013|경기대로|0|346|0|4137051000|중앙동|18134||20110729|0|||르노코리아|
41370101219800100002300000|4137010100|경기도|오산시|오산동||0|613|0|413702198001|성호대로|0|23|0|4137053000|남촌동|18129||20211216|0|||비바체카운티|
41370101219800100002400000|4137010100|경기도|오산시|오산동||0|614|2|413702198001|성호대로|0|24|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100002400001|4137010100|경기도|오산시|오산동||0|614|23|413702198001|성호대로|0|24|1|4137053000|남촌동|18130||20110729|0||||
41370101219800100002500000|4137010100|경기도|오산시|오산동||0|613|3|413702198001|성호대로|0|25|0|4137053000|남촌동|18129||20110729|0|||운산빌딩|
